5478,1,0
5575,0,0
5618,1,0
5657,0,0
5686,1,1
5714,0,1
5740,1,1
5769,0,1
5795,1,1
5824,0,1
5851,1,0
5878,0,0
5905,1,0
5934,0,0
5960,1,0
5989,0,0
6016,1,1
6044,0,1
6071,1,1
6099,0,1
6126,1,1
6154,0,1
6180,1,0
6209,0,0
6236,1,0
6264,0,0
6291,1,0
6320,0,0
6346,1,1
6376,0,1
6403,1,1
6431,0,1
6458,1,1
6487,0,1
6513,1,0
6542,0,0
6568,1,0
6597,0,0
6624,1,0
6652,0,0
6679,1,1
6709,0,1
6735,1,1
6764,0,1
6791,1,1
6819,0,1
6846,1,0
6875,0,0
6902,1,0
6931,0,0
6958,1,0
6987,0,0
7014,1,1
7043,0,1
7069,1,1
7099,0,1
7126,1,1
7154,0,1
7181,1,0
7211,0,0
7237,1,0
7266,0,0
7293,1,0
7322,0,0
7349,1,1
7378,0,1
7405,1,1
7435,0,1
7461,1,1
7490,0,1
7518,1,0
7546,0,0
7573,1,0
7603,0,0
7629,1,0
7659,0,0
7686,1,1
7715,0,1
7743,1,1
7772,0,1
7799,1,1
7828,0,1
7855,1,0
7884,0,0
7911,1,0
7941,0,0
7967,1,0
7997,0,0
8025,1,1
8054,0,1
8081,1,1
8111,0,1
8137,1,1
8167,0,1
8194,1,0
8223,0,0
8250,1,0
8280,0,0
8307,1,0
8337,0,0
8364,1,1
8393,0,1
8421,1,1
8451,0,1
8478,1,1
8507,0,1
8535,1,0
8563,0,0
8591,1,0
8621,0,0
8648,1,0
8678,0,0
8705,1,1
8734,0,1
8762,1,1
8792,0,1
8819,1,1
8849,0,1
8876,1,0
8905,0,0
8933,1,0
8963,0,0
8990,1,0
9020,0,0
9048,1,1
9077,0,1
9105,1,1
9135,0,1
9162,1,1
9192,0,1
9219,1,0
9248,0,0
9276,1,0
9306,0,0
9333,1,0
9364,0,0
9391,1,1
9421,0,1
9449,1,1
9479,0,1
9506,1,1
9536,0,1
9564,1,0
9593,0,0
9621,1,0
9651,0,0
9678,1,0
9709,0,0
9736,1,1
9766,0,1
9794,1,1
9824,0,1
9852,1,1
9882,0,1
9910,1,0
9939,0,0
9967,1,0
9997,0,0
10024,1,0
10055,0,0
10083,1,1
10114,0,1
10141,1,1
10171,0,1
10200,1,1
10229,0,1
10257,1,0
10287,0,0
10314,1,0
10345,0,0
10373,1,0
10403,0,0
10431,1,1
10462,0,1
10489,1,1
10520,0,1
10548,1,1
10577,0,1
10606,1,0
10636,0,0
10663,1,0
10694,0,0
10722,1,0
10753,0,0
10780,1,1
10811,0,1
10840,1,1
10869,0,1
10898,1,1
10928,0,1
10956,1,0
10986,0,0
11015,1,0
11045,0,0
11073,1,0
11104,0,0
11131,1,1
11162,0,1
11191,1,1
11222,0,1
11249,1,1
11280,0,1
11308,1,0
11338,0,0
11367,1,0
11398,0,0
11425,1,0
11456,0,0
11485,1,1
11515,0,1
11544,1,1
11574,0,1
11602,1,1
11633,0,1
11661,1,0
11692,0,0
11720,1,0
11751,0,0
11780,1,0
11810,0,0
11838,1,1
11870,0,1
11898,1,1
11929,0,1
11958,1,1
11987,0,1
12016,1,0
12047,0,0
12076,1,0
12106,0,0
12135,1,0
12166,0,0
12194,1,1
12225,0,1
12254,1,1
12284,0,1
12313,1,1
12344,0,1
12372,1,0
12403,0,0
12432,1,0
12464,0,0
12491,1,0
12523,0,0
12552,1,1
12582,0,1
12611,1,1
12643,0,1
12672,1,1
12702,0,1
12731,1,0
12762,0,0
12790,1,0
12821,0,0
12850,1,0
12881,0,0
12910,1,1
12942,0,1
12971,1,1
13001,0,1
13031,1,1
13062,0,1
13090,1,0
13121,0,0
13150,1,0
13181,0,0
13210,1,0
13242,0,0
13271,1,1
13302,0,1
13331,1,1
13363,0,1
13391,1,1
13422,0,1
13452,1,0
13483,0,0
13511,1,0
13543,0,0
13572,1,0
13603,0,0
13632,1,1
13664,0,1
13693,1,1
13725,0,1
13754,1,1
13785,0,1
13814,1,0
13845,0,0
13875,1,0
13906,0,0
13935,1,0
13967,0,0
13996,1,1
14028,0,1
14057,1,1
14089,0,1
14118,1,1
14149,0,1
14179,1,0
14210,0,0
14239,1,0
14271,0,0
14301,1,0
14332,0,0
14361,1,1
14393,0,1
14423,1,1
14454,0,1
14484,1,1
14516,0,1
14544,1,0
14576,0,0
14606,1,0
14638,0,0
14667,1,0
14699,0,0
14728,1,1
14760,0,1
14790,1,1
14822,0,1
14852,1,1
14882,0,1
14912,1,0
14944,0,0
14973,1,0
15005,0,0
15035,1,0
15068,0,0
15096,1,1
15129,0,1
15159,1,1
15191,0,1
15220,1,1
15252,0,1
15282,1,0
15313,0,0
15343,1,0
15376,0,0
15405,1,0
15437,0,0
15467,1,1
15499,0,1
15529,1,1
15561,0,1
15591,1,1
15623,0,1
15652,1,0
15685,0,0
15715,1,0
15747,0,0
15776,1,0
15809,0,0
15839,1,1
15872,0,1
15901,1,1
15934,0,1
15964,1,1
15995,0,1
16025,1,0
16058,0,0
16088,1,0
16120,0,0
16150,1,0
16183,0,0
16212,1,1
16245,0,1
16275,1,1
16308,0,1
16337,1,1
16370,0,1
16400,1,0
16433,0,0
16462,1,0
16495,0,0
16525,1,0
16558,0,0
16587,1,1
16621,0,1
16651,1,1
16684,0,1
16713,1,1
16746,0,1
16776,1,0
16808,0,0
16839,1,0
16872,0,0
16902,1,0
16934,0,0
16965,1,1
16998,0,1
17029,1,1
17061,0,1
17091,1,1
17124,0,1
17155,1,0
17186,0,0
17217,1,0
17250,0,0
17281,1,0
17313,0,0
17344,1,1
17377,0,1
17408,1,1
17440,0,1
17471,1,1
17504,0,1
17533,1,0
17566,0,0
17597,1,0
17631,0,0
17660,1,0
17694,0,0
17724,1,1
17758,0,1
17788,1,1
17821,0,1
17852,1,1
17885,0,1
17915,1,0
17948,0,0
17979,1,0
18013,0,0
18043,1,0
18076,0,0
18107,1,1
18141,0,1
18171,1,1
18204,0,1
18235,1,1
18269,0,1
18299,1,0
18332,0,0
18363,1,0
18397,0,0
18427,1,0
18460,0,0
18491,1,1
18525,0,1
18555,1,1
18589,0,1
18620,1,1
18654,0,1
18684,1,0
18717,0,0
18749,1,0
18782,0,0
18813,1,0
18846,0,0
18877,1,1
18912,0,1
18942,1,1
18976,0,1
19007,1,1
19041,0,1
19072,1,0
19105,0,0
19136,1,0
19170,0,0
19201,1,0
19234,0,0
19266,1,1
19300,0,1
19331,1,1
19364,0,1
19396,1,1
19429,0,1
19461,1,0
19494,0,0
19525,1,0
19559,0,0
19591,1,0
19624,0,0
19655,1,1
19690,0,1
19721,1,1
19756,0,1
19786,1,1
19820,0,1
19852,1,0
19886,0,0
19916,1,0
19951,0,0
19982,1,0
20017,0,0
20047,1,1
20082,0,1
20114,1,1
20148,0,1
20179,1,1
20213,0,1
20244,1,0
20279,0,0
20310,1,0
20344,0,0
20376,1,0
20410,0,0
20442,1,1
20476,0,1
